candidate,finger_count,turn_count,width_um,height_um,mesh_edge_um,pec_frequency_ghz,tetrahedra,hcurl_dofs,selected
n14_t6_w380_coarse,14,6,380,395,15,10.373419870386336,43532,103306,false
n14_t6_w395_coarse,14,6,395,395,15,10.040754592076029,46956,111380,false
n14_t6_w410_coarse,14,6,410,395,15,9.599417978463187,47753,113220,false
n14_t6_w425_coarse,14,6,425,395,15,9.265867282871648,48986,116080,false
n14_t6_w430_coarse,14,6,430,395,15,9.143793713877217,48757,115566,false
n14_t6_w435_coarse,14,6,435,395,15,9.009196826967807,49237,116674,false
n14_t6_w425_medium,14,6,425,395,7.5,9.328280029106994,207551,486320,false
n14_t6_w428_medium,14,6,428,395,7.5,9.245293981869569,211152,494654,false
n14_t6_w430_medium,14,6,430,395,7.5,9.221010350871483,211224,494814,false
n14_t6_w431_fine_v2,14,6,431,395,5,8.961109682945290,280685,655886,false
n14_t6_w424_fine,14,6,424,395,5,9.111777769251562,270428,632082,true
