cavity,pattern_id,frequency_band,chip,column,row,x_mm,chip_local_x_mm,y_mm,rotation_deg,frequency_ghz,sampled_field,predicted_external_qc
cavity_A,P01,below_9ghz,left,inner,upper,-2.354034780059007,1.170965219940993,0.19040454517036576,0.0,8.96501387499588,0.03917113914499608,1000146.4366438361
cavity_A,P02,below_9ghz,left,inner,lower,-2.354034780059007,1.170965219940993,-1.1449800027324666,0.0,8.975018818840208,0.038691888651666465,1000228.7047942559
cavity_A,P03,below_9ghz,right,inner,lower,2.7066065155559103,-0.8183934844440897,-0.0012152232134668983,0.0,8.984981465105346,0.038229730795833645,999494.8118590553
cavity_A,P04,below_9ghz,right,inner,upper,2.7066065155559103,-0.8183934844440897,1.015194210295069,0.0,8.994986965503921,0.03773382517650274,1000391.8389062879
cavity_A,P05,above_9ghz,left,outer,upper,-3.0629109230242464,0.46208907697575335,0.19040454517036576,0.0,9.004992746110661,0.03726644509980638,999749.655781739
cavity_A,P06,above_9ghz,left,outer,lower,-3.0629109230242464,0.46208907697575335,-1.1449800027324666,0.0,9.014998807818728,0.0367799951336951,1000096.0745209492
cavity_A,P07,above_9ghz,right,outer,lower,3.311766602748712,-0.21323339725128804,-0.0012152232134668983,0.0,9.025005151521375,0.036293942437678736,1000397.9371641771
cavity_A,P08,above_9ghz,right,outer,upper,3.311766602748712,-0.21323339725128804,1.015194210295069,0.0,9.035011778111924,0.03582903153331334,999495.0242542393
cavity_B,P01,below_9ghz,left,inner,lower,-2.3449999999999998,1.18,-0.003953361923039522,0.0,8.96501387499588,0.03955899756800931,1001049.4776125094
cavity_B,P02,below_9ghz,left,inner,upper,-2.3449999999999998,1.18,0.9939152207392391,0.0,8.975018818840208,0.03910152155595223,1001035.8121706728
cavity_B,P03,below_9ghz,right,inner,upper,2.70512350133422,-0.8198764986657803,0.5022913209080526,0.0,8.984981465105346,0.038695441131661096,998436.3666396021
cavity_B,P04,below_9ghz,right,inner,lower,2.70512350133422,-0.8198764986657803,-1.1765598376382869,0.0,8.994986965503921,0.03823598124023881,998436.372720092
cavity_B,P05,above_9ghz,left,outer,lower,-3.0210676557161262,0.5039323442838739,-0.003953361923039522,0.0,9.004992746110661,0.037732328954806285,1000746.8435030552
cavity_B,P06,above_9ghz,left,outer,upper,-3.0210676557161262,0.5039323442838739,0.9939152207392391,0.0,9.014998807818728,0.037304336086429524,999027.7831013378
cavity_B,P07,above_9ghz,right,outer,upper,3.3051235013342195,-0.21987649866578035,0.5022913209080526,0.0,9.025005151521375,0.036806148262034856,1001047.5029114416
cavity_B,P08,above_9ghz,right,outer,lower,3.3051235013342195,-0.21987649866578035,-1.1765598376382869,0.0,9.035011778111924,0.03636000024893879,1000224.7003805287
