candidate,finger_count,turn_count,width_um,height_um,mesh_edge_um,pec_frequency_ghz,tetrahedra,selected
n14_t7_w420_coarse,14,7,420,420,15,9.115268905416794,41765,false
n10_t9_w410_coarse,10,9,410,410,15,9.975863908229353,42693,false
n12_t7_w390_coarse,12,7,390,390,15,10.676199484471093,38891,false
n14_t7_w400_coarse,14,7,400,420,15,9.551767685753470,40930,false
n14_t7_w405_coarse,14,7,405,420,15,9.426306022539820,40743,false
n14_t7_w410_coarse,14,7,410,420,15,9.313197551087300,41111,false
n14_t7_w405_medium,14,7,405,420,7.5,9.361629846782504,155577,false
n14_t7_w412_medium,14,7,412,420,7.5,9.338599844606776,167536,false
n14_t7_w416_medium,14,7,416,420,7.5,9.168307183793234,163364,false
n14_t7_w420_medium,14,7,420,420,7.5,9.026818802137496,156323,false
n14_t7_w410_fine,14,7,410,420,5,9.212712407072534,326048,false
n14_t7_w413_fine,14,7,413,420,5,9.098137314852767,316634,true
n14_t7_w414_fine,14,7,414,420,5,9.074461643164929,319448,false
n14_t7_w416_fine,14,7,416,420,5,9.085718138161308,323128,false
